Input,Output
Hoje acordei muito animado,felicidade
Estou sorrindo o tempo todo hoje,felicidade
Recebi uma boa notícia no trabalho,felicidade
Meu projeto foi aprovado,felicidade
Estou feliz por ver meus amigos,felicidade
Hoje estou de ótimo humor,felicidade
Passei um tempo agradável com minha família,felicidade
Tudo está dando certo hoje,felicidade
Estou muito satisfeito com os resultados,felicidade
Foi um dia maravilhoso,felicidade
Estou contente com minha evolução,felicidade
Ganhei um elogio inesperado,felicidade
Estou celebrando uma conquista,felicidade
O almoço estava delicioso hoje,felicidade
Terminei algo importante hoje,felicidade
Estou cheio de energia positiva,felicidade
Consegui resolver um problema difícil,felicidade
Sinto uma grande alegria hoje,felicidade
A reunião foi muito produtiva,felicidade
Estou empolgado com os próximos passos,felicidade
Hoje me sinto leve e tranquilo,felicidade
Estou muito motivado hoje,felicidade
Consegui atingir minha meta,felicidade
Recebi um reconhecimento pelo meu esforço,felicidade
Hoje foi um ótimo dia para mim,felicidade
Estou satisfeito com o progresso,felicidade
As coisas estão indo muito bem,felicidade
Estou feliz por ter aprendido algo novo,felicidade
Estou de bom humor hoje,felicidade
Foi muito bom rever um amigo,felicidade
Hoje acordei um pouco triste,tristeza
Estou me sentindo desanimado,tristeza
Nada parece melhorar hoje,tristeza
Perdi a motivação hoje,tristeza
Estou com saudade de alguém,tristeza
Hoje estou com o coração pesado,tristeza
Recebi uma notícia que me deixou mal,tristeza
Sinto um vazio hoje,tristeza
Estou preocupado com muitas coisas,tristeza
Hoje está sendo um dia difícil,tristeza
Não estou me sentindo bem hoje,tristeza
Sinto que as coisas não estão indo bem,tristeza
Estou cansado emocionalmente,tristeza
Hoje acordei sem vontade de nada,tristeza
Estou me sentindo abatido,tristeza
Estou chateado com o que aconteceu,tristeza
Hoje tudo parece complicado,tristeza
Estou desmotivado hoje,tristeza
Não consegui resolver meus problemas hoje,tristeza
Sinto um pouco de tristeza hoje,tristeza
Estou preocupado com o futuro,tristeza
Hoje estou sem energia,tristeza
As coisas estão difíceis hoje,tristeza
Estou desapontado com os resultados,tristeza
Hoje não foi um bom dia,tristeza
Sinto falta de tempos melhores,tristeza
Estou com um sentimento ruim hoje,tristeza
